start_date,end_date,content_text,category,facet,year,placement,nationality,venue,location,state,score,margin,from_par,prize
1994,,18th place,Placed,"Irwin, Hale",1994,18,United States,,,,,,,
1995,,Cut from tournament,Cut,"Irwin, Hale",1995,,United States,,,,,,,
1996,,50th place,Placed,"Irwin, Hale",1996,50,United States,,,,,,,
1997,,52nd place,Placed,"Irwin, Hale",1997,52,United States,,,,,,,
1998,,Cut from tournament,Cut,"Irwin, Hale",1998,,United States,,,,,,,
1999,,Withdrew from tournament,Withdrew,"Irwin, Hale",1999,,United States,,,,,,,
2000,,27th place,Placed,"Irwin, Hale",2000,27,United States,,,,,,,
2001,,52nd place,Placed,"Irwin, Hale",2001,52,United States,,,,,,,
2002,,Cut from tournament,Cut,"Irwin, Hale",2002,,United States,,,,,,,
2003,,Withdrew from tournament,Withdrew,"Irwin, Hale",2003,,United States,,,,,,,
1944,,Born: 1944,Born,"Jacklin, Tony",1944,,United Kingdom,,,,,,,
1969,,25th place,Placed,"Jacklin, Tony",1969,25,United Kingdom,,,,,,,
1970,,"Tony Jacklin wins at Hazeltine National Golf Club (Chaska, Minnesota) with a score of 281 (-7) and by a margin of 7 strokes, earning $30,000.",Victory,"Jacklin, Tony",1970,1,United Kingdom,Hazeltine National Golf Club,"Chaska, Minnesota",Minnesota,281,7,-7,"30,000.00"
1971,,Cut from tournament,Cut,"Jacklin, Tony",1971,,United Kingdom,,,,,,,
1972,,40th place,Placed,"Jacklin, Tony",1972,40,United Kingdom,,,,,,,
1973,,52nd place,Placed,"Jacklin, Tony",1973,52,United Kingdom,,,,,,,
1974,,Cut from tournament,Cut,"Jacklin, Tony",1974,,United Kingdom,,,,,,,
1975,,Cut from tournament,Cut,"Jacklin, Tony",1975,,United Kingdom,,,,,,,
1964,,Born: 1964,Born,"Janzen, Lee",1964,,United States,,,,,,,
1991,,Cut from tournament,Cut,"Janzen, Lee",1991,,United States,,,,,,,
1992,,Cut from tournament,Cut,"Janzen, Lee",1992,,United States,,,,,,,
1993,,"Lee Janzen wins at Baltusrol Golf Club, Lower Course (Springfield, New Jersey) with a score of 272 (-8) and by a margin of 2 strokes, earning $290,000.",Victory,"Janzen, Lee",1993,1,United States,"Baltusrol Golf Club, Lower Course","Springfield, New Jersey",New Jersey,272,2,-8,"290,000.00"
1994,,Cut from tournament,Cut,"Janzen, Lee",1994,,United States,,,,,,,
1995,,13th place,Placed,"Janzen, Lee",1995,13,United States,,,,,,,
1996,,10th place,Placed,"Janzen, Lee",1996,10,United States,,,,,,,
1997,,52nd place,Placed,"Janzen, Lee",1997,52,United States,,,,,,,
1998,,"Lee Janzen wins for the 2nd time at Olympic Club, Lake Course (San Francisco, California) with a score of 280 (E) and by a margin of 1 stroke, earning $535,000.",Victory,"Janzen, Lee",1998,1,United States,"Olympic Club, Lake Course","San Francisco, California",California,280,1,0,"535,000.00"
1999,,46th place,Placed,"Janzen, Lee",1999,46,United States,,,,,,,
2000,,37th place,Placed,"Janzen, Lee",2000,37,United States,,,,,,,
2001,,Cut from tournament,Cut,"Janzen, Lee",2001,,United States,,,,,,,
2002,,Cut from tournament,Cut,"Janzen, Lee",2002,,United States,,,,,,,
2003,,55th place,Placed,"Janzen, Lee",2003,55,United States,,,,,,,
2004,,24th place,Placed,"Janzen, Lee",2004,24,United States,,,,,,,
2005,,57th place,Placed,"Janzen, Lee",2005,57,United States,,,,,,,
2006,,Cut from tournament,Cut,"Janzen, Lee",2006,,United States,,,,,,,
2007,,13th place,Placed,"Janzen, Lee",2007,13,United States,,,,,,,
2008,,Cut from tournament,Cut,"Janzen, Lee",2008,,United States,,,,,,,
2015,,Cut from tournament,Cut,"Janzen, Lee",2015,,United States,,,,,,,
1984,,Born: 1984,Born,"Johnson, Dustin",1984,,United States,,,,,,,
2008,,48th place,Placed,"Johnson, Dustin",2008,48,United States,,,,,,,
2009,,40th place,Placed,"Johnson, Dustin",2009,40,United States,,,,,,,
2010,,8th place,Placed,"Johnson, Dustin",2010,8,United States,,,,,,,
2011,,23rd place,Placed,"Johnson, Dustin",2011,23,United States,,,,,,,
2012,,Cut from tournament,Cut,"Johnson, Dustin",2012,,United States,,,,,,,
2013,,55th place,Placed,"Johnson, Dustin",2013,55,United States,,,,,,,
2014,,4th place,Placed,"Johnson, Dustin",2014,4,United States,,,,,,,
2015,,2nd place,Placed,"Johnson, Dustin",2015,2,United States,,,,,,,
2016,,"Dustin Johnson wins at Oakmont Country Club (Oakmont, Pennsylvania) with a score of 276 (-4) and by a margin of 3 strokes, earning $1,800,000.",Victory,"Johnson, Dustin",2016,1,United States,Oakmont Country Club,"Oakmont, Pennsylvania",Pennsylvania,276,3,-4,"1,800,000.00"
1902,,Born: 1902,Born,"Jones, Bobby",1902,,United States,,,,,,,
1920,,8th place,Placed,"Jones, Bobby",1920,8,United States,,,,,,,
1921,,5th place,Placed,"Jones, Bobby",1921,5,United States,,,,,,,
1922,,2nd place,Placed,"Jones, Bobby",1922,2,United States,,,,,,,
1923,,"Bobby Jones (an amateur) wins at Inwood Country Club (Inwood, New York) with a score of 296 in a playoff.",Victory,"Jones, Bobby",1923,1,United States,Inwood Country Club,"Inwood, New York",New York,296,0,,0.00
1924,,2nd place,Placed,"Jones, Bobby",1924,2,United States,,,,,,,
1925,,2nd place,Placed,"Jones, Bobby",1925,2,United States,,,,,,,
1926,,"Bobby Jones (an amateur) wins for the 2nd time at Scioto Country Club (Columbus, Ohio) with a score of 293 and by a margin of 1 stroke.",Victory,"Jones, Bobby",1926,1,United States,Scioto Country Club,"Columbus, Ohio",Ohio,293,1,,0.00
1927,,11th place,Placed,"Jones, Bobby",1927,11,United States,,,,,,,
1928,,2nd place,Placed,"Jones, Bobby",1928,2,United States,,,,,,,
1929,,"Bobby Jones (an amateur) wins for the 3rd time at Winged Foot Golf Club, West Course (Mamaroneck, New York) with a score of 294 in a playoff.",Victory,"Jones, Bobby",1929,1,United States,"Winged Foot Golf Club, West Course","Mamaroneck, New York",New York,294,0,,0.00
1930,,"Bobby Jones (an amateur) wins for the 4th time at Interlachen Country Club (Edina, Minnesota) with a score of 287 (-1) and by a margin of 2 strokes.With this victory, he holds the record for most U.S Open victories (tied with Willie Anderson, Ben Hogan, and Jack Nicklaus).",Victory,"Jones, Bobby",1930,1,United States,Interlachen Country Club,"Edina, Minnesota",Minnesota,287,2,-1,0.00
1971,,Died: 1971,Died,"Jones, Bobby",1971,,United States,,,,,,,
1958,,Born: 1958,Born,"Jones, Steve",1958,,United States,,,,,,,
1989,,46th place,Placed,"Jones, Steve",1989,46,United States,,,,,,,
1990,,8th place,Placed,"Jones, Steve",1990,8,United States,,,,,,,
1991,,Cut from tournament,Cut,"Jones, Steve",1991,,United States,,,,,,,
1996,,"Steve Jones wins at Oakland Hills Country Club, South Course (Bloomfield Hills, Michigan) with a score of 278 (-2) and by a margin of 1 stroke, earning $425,000.",Victory,"Jones, Steve",1996,1,United States,"Oakland Hills Country Club, South Course","Bloomfield Hills, Michigan",Michigan,278,1,-2,"425,000.00"
1997,,60th place,Placed,"Jones, Steve",1997,60,United States,,,,,,,
1998,,Cut from tournament,Cut,"Jones, Steve",1998,,United States,,,,,,,
1999,,Cut from tournament,Cut,"Jones, Steve",1999,,United States,,,,,,,
2000,,27th place,Placed,"Jones, Steve",2000,27,United States,,,,,,,
2001,,30th place,Placed,"Jones, Steve",2001,30,United States,,,,,,,
2002,,Cut from tournament,Cut,"Jones, Steve",2002,,United States,,,,,,,
2005,,57th place,Placed,"Jones, Steve",2005,57,United States,,,,,,,
2006,,32nd place,Placed,"Jones, Steve",2006,32,United States,,,,,,,
1984,,Born: 1984,Born,"Kaymer, Martin",1984,,Germany,,,,,,,
2008,,53rd place,Placed,"Kaymer, Martin",2008,53,Germany,,,,,,,
2009,,Cut from tournament,Cut,"Kaymer, Martin",2009,,Germany,,,,,,,
2010,,8th place,Placed,"Kaymer, Martin",2010,8,Germany,,,,,,,
2011,,39th place,Placed,"Kaymer, Martin",2011,39,Germany,,,,,,,
2012,,15th place,Placed,"Kaymer, Martin",2012,15,Germany,,,,,,,
2013,,59th place,Placed,"Kaymer, Martin",2013,59,Germany,,,,,,,
2014,,"Martin Kaymer wins at Pinehurst Resort, Course No. 2 (Pinehurst, North Carolina) with a score of 271 (-9) and by a margin of 8 strokes, earning $1,620,000.",Victory,"Kaymer, Martin",2014,1,Germany,"Pinehurst Resort, Course No. 2","Pinehurst, North Carolina",North Carolina,271,8,-9,"1,620,000.00"
2015,,Cut from tournament,Cut,"Kaymer, Martin",2015,,Germany,,,,,,,
2016,,37th place,Placed,"Kaymer, Martin",2016,37,Germany,,,,,,,
1949,,Born: 1949,Born,"Kite, Tom",1949,,United States,,,,,,,
1970,,Cut from tournament,Cut,"Kite, Tom",1970,,United States,,,,,,,
1972,,19th place,Placed,"Kite, Tom",1972,19,United States,,,,,,,
1974,,8th place,Placed,"Kite, Tom",1974,8,United States,,,,,,,
1975,,Cut from tournament,Cut,"Kite, Tom",1975,,United States,,,,,,,
1976,,Cut from tournament,Cut,"Kite, Tom",1976,,United States,,,,,,,
1977,,27th place,Placed,"Kite, Tom",1977,27,United States,,,,,,,
1978,,20th place,Placed,"Kite, Tom",1978,20,United States,,,,,,,
1979,,Cut from tournament,Cut,"Kite, Tom",1979,,United States,,,,,,,
1980,,Cut from tournament,Cut,"Kite, Tom",1980,,United States,,,,,,,
1981,,20th place,Placed,"Kite, Tom",1981,20,United States,,,,,,,
1982,,29th place,Placed,"Kite, Tom",1982,29,United States,,,,,,,
1983,,20th place,Placed,"Kite, Tom",1983,20,United States,,,,,,,
1984,,Cut from tournament,Cut,"Kite, Tom",1984,,United States,,,,,,,
1985,,13th place,Placed,"Kite, Tom",1985,13,United States,,,,,,,
1986,,35th place,Placed,"Kite, Tom",1986,35,United States,,,,,,,
1987,,46th place,Placed,"Kite, Tom",1987,46,United States,,,,,,,
1988,,36th place,Placed,"Kite, Tom",1988,36,United States,,,,,,,
1989,,9th place,Placed,"Kite, Tom",1989,9,United States,,,,,,,
1990,,56th place,Placed,"Kite, Tom",1990,56,United States,,,,,,,
1991,,37th place,Placed,"Kite, Tom",1991,37,United States,,,,,,,
1992,,"Tom Kite wins at Pebble Beach Golf Links (Pebble Beach, California) with a score of 285 (-3) and by a margin of 2 strokes, earning $275,000.",Victory,"Kite, Tom",1992,1,United States,Pebble Beach Golf Links,"Pebble Beach, California",California,285,2,-3,"275,000.00"
1993,,Cut from tournament,Cut,"Kite, Tom",1993,,United States,,,,,,,
1994,,33rd place,Placed,"Kite, Tom",1994,33,United States,,,,,,,
1995,,67th place,Placed,"Kite, Tom",1995,67,United States,,,,,,,
1996,,82nd place,Placed,"Kite, Tom",1996,82,United States,,,,,,,
1997,,68th place,Placed,"Kite, Tom",1997,68,United States,,,,,,,
1998,,43rd place,Placed,"Kite, Tom",1998,43,United States,,,,,,,
1999,,60th place,Placed,"Kite, Tom",1999,60,United States,,,,,,,
2000,,32nd place,Placed,"Kite, Tom",2000,32,United States,,,,,,,
2001,,5th place,Placed,"Kite, Tom",2001,5,United States,,,,,,,
2002,,Cut from tournament,Cut,"Kite, Tom",2002,,United States,,,,,,,
2003,,Cut from tournament,Cut,"Kite, Tom",2003,,United States,,,,,,,
2004,,57th place,Placed,"Kite, Tom",2004,57,United States,,,,,,,
1910,,Born: 1910,Born,"Little, Lawson",1910,,United States,,,,,,,
1934,,25th place,Placed,"Little, Lawson",1934,25,United States,,,,,,,
1937,,Cut from tournament,Cut,"Little, Lawson",1937,,United States,,,,,,,
1938,,38th place,Placed,"Little, Lawson",1938,38,United States,,,,,,,
1939,,42nd place,Placed,"Little, Lawson",1939,42,United States,,,,,,,
1940,,"Lawson Little wins at Canterbury Golf Club (Beachwood, Ohio) with a score of 287 (-1) in a playoff, earning $1,000.",Victory,"Little, Lawson",1940,1,United States,Canterbury Golf Club,"Beachwood, Ohio",Ohio,287,0,-1,"1,000.00"
1941,,17th place,Placed,"Little, Lawson",1941,17,United States,,,,,,,
1946,,10th place,Placed,"Little, Lawson",1946,10,United States,,,,,,,
1947,,31st place,Placed,"Little, Lawson",1947,31,United States,,,,,,,
1948,,Cut from tournament,Cut,"Little, Lawson",1948,,United States,,,,,,,
1949,,Cut from tournament,Cut,"Little, Lawson",1949,,United States,,,,,,,
1950,,Cut from tournament,Cut,"Little, Lawson",1950,,United States,,,,,,,
1951,,Cut from tournament,Cut,"Little, Lawson",1951,,United States,,,,,,,
1952,,Cut from tournament,Cut,"Little, Lawson",1952,,United States,,,,,,,
1953,,45th place,Placed,"Little, Lawson",1953,45,United States,,,,,,,
1954,,35th place,Placed,"Little, Lawson",1954,35,United States,,,,,,,
1955,,Cut from tournament,Cut,"Little, Lawson",1955,,United States,,,,,,,
1968,,Died: 1968,Died,"Little, Lawson",1968,,United States,,,,,,,
1930,,Born: 1930,Born,"Littler, Gene",1930,,United States,,,,,,,
1954,,2nd place,Placed,"Littler, Gene",1954,2,United States,,,,,,,
1955,,15th place,Placed,"Littler, Gene",1955,15,United States,,,,,,,
1956,,34th place,Placed,"Littler, Gene",1956,34,United States,,,,,,,
1957,,32nd place,Placed,"Littler, Gene",1957,32,United States,,,,,,,
1958,,4th place,Placed,"Littler, Gene",1958,4,United States,,,,,,,
1959,,11th place,Placed,"Littler, Gene",1959,11,United States,,,,,,,
1960,,Cut from tournament,Cut,"Littler, Gene",1960,,United States,,,,,,,
1961,,"Gene Littler wins at Oakland Hills Country Club, South Course (Bloomfield Hills, Michigan) with a score of 281 (+1) and by a margin of 1 stroke, earning $14,000.",Victory,"Littler, Gene",1961,1,United States,"Oakland Hills Country Club, South Course","Bloomfield Hills, Michigan",Michigan,281,1,1,"14,000.00"
1962,,8th place,Placed,"Littler, Gene",1962,8,United States,,,,,,,
1963,,21st place,Placed,"Littler, Gene",1963,21,United States,,,,,,,
1964,,11th place,Placed,"Littler, Gene",1964,11,United States,,,,,,,
1965,,8th place,Placed,"Littler, Gene",1965,8,United States,,,,,,,
1966,,48th place,Placed,"Littler, Gene",1966,48,United States,,,,,,,
1967,,Cut from tournament,Cut,"Littler, Gene",1967,,United States,,,,,,,
1969,,Cut from tournament,Cut,"Littler, Gene",1969,,United States,,,,,,,
1970,,12th place,Placed,"Littler, Gene",1970,12,United States,,,,,,,
1971,,37th place,Placed,"Littler, Gene",1971,37,United States,,,,,,,
1973,,18th place,Placed,"Littler, Gene",1973,18,United States,,,,,,,
1974,,Cut from tournament,Cut,"Littler, Gene",1974,,United States,,,,,,,
1975,,49th place,Placed,"Littler, Gene",1975,49,United States,,,,,,,
1976,,50th place,Placed,"Littler, Gene",1976,50,United States,,,,,,,
1978,,35th place,Placed,"Littler, Gene",1978,35,United States,,,,,,,
1979,,Cut from tournament,Cut,"Littler, Gene",1979,,United States,,,,,,,
1980,,38th place,Placed,"Littler, Gene",1980,38,United States,,,,,,,
1982,,22nd place,Placed,"Littler, Gene",1982,22,United States,,,,,,,
1864,,Born: 1864,Born,"Lloyd, Joe",1864,,United Kingdom,,,,,,,
1896,,7th place,Placed,"Lloyd, Joe",1896,7,United Kingdom,,,,,,,
1897,,"Joe Lloyd wins at Chicago Golf Club (Wheaton, Illinois) with a score of 162 and by a margin of 1 stroke, earning $150.",Victory,"Lloyd, Joe",1897,1,United Kingdom,Chicago Golf Club,"Wheaton, Illinois",Illinois,162,1,,150.00
1898,,4th place,Placed,"Lloyd, Joe",1898,4,United Kingdom,,,,,,,
1901,,20th place,Placed,"Lloyd, Joe",1901,20,United Kingdom,,,,,,,
1903,,24th place,Placed,"Lloyd, Joe",1903,24,United Kingdom,,,,,,,
1905,,16th place,Placed,"Lloyd, Joe",1905,16,United Kingdom,,,,,,,
1908,,Withdrew from tournament,Withdrew,"Lloyd, Joe",1908,,United Kingdom,,,,,,,
1925,,Died: 1925,Died,"Lloyd, Joe",1925,,United Kingdom,,,,,,,
1889,,Born: 1889,Born,"Macfarlane, Willie",1889,,United Kingdom,,,,,,,
1912,,18th place,Placed,"Macfarlane, Willie",1912,18,United Kingdom,,,,,,,
1913,,Withdrew from tournament,Withdrew,"Macfarlane, Willie",1913,,United Kingdom,,,,,,,
1914,,Withdrew from tournament,Withdrew,"Macfarlane, Willie",1914,,United Kingdom,,,,,,,
1915,,35th place,Placed,"Macfarlane, Willie",1915,35,United Kingdom,,,,,,,
1920,,8th place,Placed,"Macfarlane, Willie",1920,8,United Kingdom,,,,,,,
1922,,Withdrew from tournament,Withdrew,"Macfarlane, Willie",1922,,United Kingdom,,,,,,,
1925,,"Willie Macfarlane wins at Worcester Country Club (Worcester, Massachusetts) with a score of 291 in a playoff, earning $500.",Victory,"Macfarlane, Willie",1925,1,United Kingdom,Worcester Country Club,"Worcester, Massachusetts",Massachusetts,291,0,,500.00
1926,,20th place,Placed,"Macfarlane, Willie",1926,20,United Kingdom,,,,,,,
1927,,18th place,Placed,"Macfarlane, Willie",1927,18,United Kingdom,,,,,,,
1928,,14th place,Placed,"Macfarlane, Willie",1928,14,United Kingdom,,,,,,,
1929,,27th place,Placed,"Macfarlane, Willie",1929,27,United Kingdom,,,,,,,
1930,,43rd place,Placed,"Macfarlane, Willie",1930,43,United Kingdom,,,,,,,
1932,,Cut from tournament,Cut,"Macfarlane, Willie",1932,,United Kingdom,,,,,,,
1935,,47th place,Placed,"Macfarlane, Willie",1935,47,United Kingdom,,,,,,,
1937,,47th place,Placed,"Macfarlane, Willie",1937,47,United Kingdom,,,,,,,
1938,,32nd place,Placed,"Macfarlane, Willie",1938,32,United Kingdom,,,,,,,
1946,,Withdrew from tournament,Withdrew,"Macfarlane, Willie",1946,,United Kingdom,,,,,,,
1961,,Died: 1961,Died,"Macfarlane, Willie",1961,,United Kingdom,,,,,,,
1905,,Born: 1905,Born,"Manero, Tony",1905,,United States,,,,,,,
1928,,41st place,Placed,"Manero, Tony",1928,41,United States,,,,,,,
1929,,Cut from tournament,Cut,"Manero, Tony",1929,,United States,,,,,,,
1931,,19th place,Placed,"Manero, Tony",1931,19,United States,,,,,,,
1932,,45th place,Placed,"Manero, Tony",1932,45,United States,,,,,,,
1933,,29th place,Placed,"Manero, Tony",1933,29,United States,,,,,,,
1934,,Cut from tournament,Cut,"Manero, Tony",1934,,United States,,,,,,,
1935,,40th place,Placed,"Manero, Tony",1935,40,United States,,,,,,,
1936,,"Tony Manero wins at Baltusrol Golf Club, Upper Course (Springfield, New Jersey) with a score of 282 (-2) and by a margin of 2 strokes, earning $1,000.",Victory,"Manero, Tony",1936,1,United States,"Baltusrol Golf Club, Upper Course","Springfield, New Jersey",New Jersey,282,2,-2,"1,000.00"
1937,,40th place,Placed,"Manero, Tony",1937,40,United States,,,,,,,
1938,,48th place,Placed,"Manero, Tony",1938,48,United States,,,,,,,
1939,,56th place,Placed,"Manero, Tony",1939,56,United States,,,,,,,
1940,,36th place,Placed,"Manero, Tony",1940,36,United States,,,,,,,
1941,,Cut from tournament,Cut,"Manero, Tony",1941,,United States,,,,,,,
1946,,Cut from tournament,Cut,"Manero, Tony",1946,,United States,,,,,,,
1947,,Withdrew from tournament,Withdrew,"Manero, Tony",1947,,United States,,,,,,,
1948,,Cut from tournament,Cut,"Manero, Tony",1948,,United States,,,,,,,
1949,,Cut from tournament,Cut,"Manero, Tony",1949,,United States,,,,,,,
1950,,Cut from tournament,Cut,"Manero, Tony",1950,,United States,,,,,,,
1951,,Cut from tournament,Cut,"Manero, Tony",1951,,United States,,,,,,,
1954,,Cut from tournament,Cut,"Manero, Tony",1954,,United States,,,,,,,
1989,,Died: 1989,Died,"Manero, Tony",1989,,United States,,,,,,,
1914,,Born: 1914,Born,"Mangrum, Lloyd",1914,,United States,,,,,,,
1937,,Cut from tournament,Cut,"Mangrum, Lloyd",1937,,United States,,,,,,,
1939,,56th place,Placed,"Mangrum, Lloyd",1939,56,United States,,,,,,,
1940,,5th place,Placed,"Mangrum, Lloyd",1940,5,United States,,,,,,,
1941,,10th place,Placed,"Mangrum, Lloyd",1941,10,United States,,,,,,,
1946,,"Lloyd Mangrum wins at Canterbury Golf Club (Beachwood, Ohio) with a score of 284 (-4) in a playoff, earning $1,833.",Victory,"Mangrum, Lloyd",1946,1,United States,Canterbury Golf Club,"Beachwood, Ohio",Ohio,284,0,-4,"1,833.00"
1947,,23rd place,Placed,"Mangrum, Lloyd",1947,23,United States,,,,,,,
1948,,21st place,Placed,"Mangrum, Lloyd",1948,21,United States,,,,,,,
1949,,14th place,Placed,"Mangrum, Lloyd",1949,14,United States,,,,,,,
1950,,2nd place,Placed,"Mangrum, Lloyd",1950,2,United States,,,,,,,
1951,,4th place,Placed,"Mangrum, Lloyd",1951,4,United States,,,,,,,
1952,,10th place,Placed,"Mangrum, Lloyd",1952,10,United States,,,,,,,
1953,,3rd place,Placed,"Mangrum, Lloyd",1953,3,United States,,,,,,,
1954,,3rd place,Placed,"Mangrum, Lloyd",1954,3,United States,,,,,,,
1957,,Cut from tournament,Cut,"Mangrum, Lloyd",1957,,United States,,,,,,,
1958,,37th place,Placed,"Mangrum, Lloyd",1958,37,United States,,,,,,,
1960,,23rd place,Placed,"Mangrum, Lloyd",1960,23,United States,,,,,,,
1973,,Died: 1973,Died,"Mangrum, Lloyd",1973,,United States,,,,,,,
1924,,Born: 1924,Born,"Mayer, Dick",1924,,United States,,,,,,,
1948,,41st place,Placed,"Mayer, Dick",1948,41,United States,,,,,,,
1950,,12th place,Placed,"Mayer, Dick",1950,12,United States,,,,,,,
1951,,Cut from tournament,Cut,"Mayer, Dick",1951,,United States,,,,,,,
1952,,28th place,Placed,"Mayer, Dick",1952,28,United States,,,,,,,
1953,,54th place,Placed,"Mayer, Dick",1953,54,United States,,,,,,,
1954,,3rd place,Placed,"Mayer, Dick",1954,3,United States,,,,,,,
1955,,Cut from tournament,Cut,"Mayer, Dick",1955,,United States,,,,,,,
1956,,41st place,Placed,"Mayer, Dick",1956,41,United States,,,,,,,
1957,,"Dick Mayer wins at Inverness Club (Toledo, Ohio) with a score of 282 (+2) in a playoff, earning $7,200.",Victory,"Mayer, Dick",1957,1,United States,Inverness Club,"Toledo, Ohio",Ohio,282,0,2,"7,200.00"
1958,,23rd place,Placed,"Mayer, Dick",1958,23,United States,,,,,,,
1959,,Cut from tournament,Cut,"Mayer, Dick",1959,,United States,,,,,,,
1961,,42nd place,Placed,"Mayer, Dick",1961,42,United States,,,,,,,
1963,,Cut from tournament,Cut,"Mayer, Dick",1963,,United States,,,,,,,
1989,,Died: 1989,Died,"Mayer, Dick",1989,,United States,,,,,,,
1891,,Born: 1891,Born,"McDermott, John",1891,,United States,,,,,,,
1909,,49th place,Placed,"McDermott, John",1909,49,United States,,,,,,,
1910,,2nd place,Placed,"McDermott, John",1910,2,United States,,,,,,,
1911,,"John McDermott wins at Chicago Golf Club (Wheaton, Illinois) with a score of 307 in a playoff, earning $300. To date, he was the youngest golfer to win the U.S. Open at 19 years of age.",Victory,"McDermott, John",1911,1,United States,Chicago Golf Club,"Wheaton, Illinois",Illinois,307,0,,300.00
1912,,"John McDermott wins for the 2nd time at Country Club of Buffalo (Buffalo, New York) with a score of 294 and by a margin of 2 strokes, earning $300.",Victory,"McDermott, John",1912,1,United States,Country Club of Buffalo,"Buffalo, New York",New York,294,2,,300.00
1913,,8th place,Placed,"McDermott, John",1913,8,United States,,,,,,,
1914,,9th place,Placed,"McDermott, John",1914,9,United States,,,,,,,
1971,,Died: 1971,Died,"McDermott, John",1971,,United States,,,,,,,
1979,,Born: 1979,Born,"McDowell, Graeme",1979,,United Kingdom,,,,,,,
2005,,80th place,Placed,"McDowell, Graeme",2005,80,United Kingdom,,,,,,,
2006,,48th place,Placed,"McDowell, Graeme",2006,48,United Kingdom,,,,,,,
2007,,30th place,Placed,"McDowell, Graeme",2007,30,United Kingdom,,,,,,,
2009,,18th place,Placed,"McDowell, Graeme",2009,18,United Kingdom,,,,,,,
2010,,"Graeme McDowell wins at Pebble Beach Golf Links (Pebble Beach, California) with a score of 284 (E) and by a margin of 1 stroke, earning $1,350,000.",Victory,"McDowell, Graeme",2010,1,United Kingdom,Pebble Beach Golf Links,"Pebble Beach, California",California,284,1,0,"1,350,000.00"
2011,,14th place,Placed,"McDowell, Graeme",2011,14,United Kingdom,,,,,,,
2012,,2nd place,Placed,"McDowell, Graeme",2012,2,United Kingdom,,,,,,,
2013,,Cut from tournament,Cut,"McDowell, Graeme",2013,,United Kingdom,,,,,,,
2014,,28th place,Placed,"McDowell, Graeme",2014,28,United Kingdom,,,,,,,
2015,,Cut from tournament,Cut,"McDowell, Graeme",2015,,United Kingdom,,,,,,,
2016,,18th place,Placed,"McDowell, Graeme",2016,18,United Kingdom,,,,,,,
1989,,Born: 1989,Born,"McIlroy, Rory",1989,,United Kingdom,,,,,,,
2009,,10th place,Placed,"McIlroy, Rory",2009,10,United Kingdom,,,,,,,
2010,,Cut from tournament,Cut,"McIlroy, Rory",2010,,United Kingdom,,,,,,,
2011,,"Rory McIlroy wins at Congressional Country Club, Blue Course (Bethesda, Maryland) with a score of 268 (-16) and by a margin of 8 strokes, earning $1,440,000.",Victory,"McIlroy, Rory",2011,1,United Kingdom,"Congressional Country Club, Blue Course","Bethesda, Maryland",Maryland,268,8,-16,"1,440,000.00"
2012,,Cut from tournament,Cut,"McIlroy, Rory",2012,,United Kingdom,,,,,,,
2013,,41st place,Placed,"McIlroy, Rory",2013,41,United Kingdom,,,,,,,
2014,,23rd place,Placed,"McIlroy, Rory",2014,23,United Kingdom,,,,,,,
2015,,9th place,Placed,"McIlroy, Rory",2015,9,United Kingdom,,,,,,,
2016,,Cut from tournament,Cut,"McIlroy, Rory",2016,,United Kingdom,,,,,,,
1882,,Born: 1882,Born,"McLeod, Fred",1882,,United Kingdom,,,,,,,
1903,,26th place,Placed,"McLeod, Fred",1903,26,United Kingdom,,,,,,,
1904,,29th place,Placed,"McLeod, Fred",1904,29,United Kingdom,,,,,,,
1905,,19th place,Placed,"McLeod, Fred",1905,19,United Kingdom,,,,,,,
1906,,35th place,Placed,"McLeod, Fred",1906,35,United Kingdom,,,,,,,
1907,,5th place,Placed,"McLeod, Fred",1907,5,United Kingdom,,,,,,,
1908,,"Fred McLeod wins at Myopia Hunt Club (South Hamilton, Massachusetts) with a score of 322 in a playoff, earning $300.",Victory,"McLeod, Fred",1908,1,United Kingdom,Myopia Hunt Club,"South Hamilton, Massachusetts",Massachusetts,322,0,,300.00
1909,,13th place,Placed,"McLeod, Fred",1909,13,United Kingdom,,,,,,,
1910,,4th place,Placed,"McLeod, Fred",1910,4,United Kingdom,,,,,,,
1911,,4th place,Placed,"McLeod, Fred",1911,4,United Kingdom,,,,,,,
1912,,13th place,Placed,"McLeod, Fred",1912,13,United Kingdom,,,,,,,
1913,,39th place,Placed,"McLeod, Fred",1913,39,United Kingdom,,,,,,,
1914,,3rd place,Placed,"McLeod, Fred",1914,3,United Kingdom,,,,,,,
1915,,8th place,Placed,"McLeod, Fred",1915,8,United Kingdom,,,,,,,
1916,,24th place,Placed,"McLeod, Fred",1916,24,United Kingdom,,,,,,,
1919,,8th place,Placed,"McLeod, Fred",1919,8,United Kingdom,,,,,,,
1920,,13th place,Placed,"McLeod, Fred",1920,13,United Kingdom,,,,,,,
1921,,2nd place,Placed,"McLeod, Fred",1921,2,United Kingdom,,,,,,,
1924,,40th place,Placed,"McLeod, Fred",1924,40,United Kingdom,,,,,,,
1926,,Cut from tournament,Cut,"McLeod, Fred",1926,,United Kingdom,,,,,,,
1928,,41st place,Placed,"McLeod, Fred",1928,41,United Kingdom,,,,,,,
1931,,Cut from tournament,Cut,"McLeod, Fred",1931,,United Kingdom,,,,,,,
1941,,Withdrew from tournament,Withdrew,"McLeod, Fred",1941,,United Kingdom,,,,,,,
